id,name,type,center,title,specializationTags,source,location
expert_26,田野,机构特教,北京迪夫健康科技有限公司,融合教育老师 | 康复治疗技术专业毕业 | 从事一线儿童康复和特殊教育专业8年 | 担任北京市亦庄某校小学部特殊儿童融合教育项目负责人,"[""康复治疗"", ""人体解剖学"", ""生理学"", ""神经科学"", ""康复评定学"", ""康复治疗技术""]",自闭症家园网,北京东城区
expert_27,云爱玲,机构督导,黑龙江沐光行教育科技有限公司,主任医师 | 沐光行教育特邀专家 | 北京东区儿童医院特聘专家 | 原北京宝营贝贝医学总盗康复部主任 | 原北京京都儿童医院儿童神经康复科主任,"[""儿童保健"", ""发育行为评估"", ""神经康复临床工作"", ""婴儿神经发育评估"", ""神经发育障碍性疾病"", ""早期干预"", ""儿童营养评估"", ""体格发育评估"", ""早期综合发展"", ""高危儿测评管理""]",自闭症家园网,黑龙江哈尔滨市
expert_28,解新颖,机构督导 | 行为分析师,黑龙江沐光行教育科技有限公司,IBA国际行为分析师 | 沐光行教育教学主任 | 持证康复治疗师 | 自然环境教学NET高阶指导师 | 原北京宝秀兰儿童发展中心康复师,"[""VBmaPp"", ""EFL"", ""ABLLSR"", ""PEAK"", ""peabody"", ""AFIS"", ""个案督导"", ""自然环境教学NET"", ""循证干预"", ""主动语言训练""]",自闭症家园网,黑龙江哈尔滨市
expert_29,姜长彬,机构督导,黑龙江沐光行教育科技有限公司,康复治疗医学专业 | 沐光行教育教学主管 | 原北京京都儿童医院感觉统合治疗师 | 原北京茄子游戏治疗师 | 北京樱花园教育机构创始人,"[""感觉统合教学"", ""感觉统合理论"", ""系统教育理念"", ""个案干预"", ""特殊教育""]",自闭症家园网,黑龙江哈尔滨市
expert_30,林赛妮,机构督导 | 行为分析师,黑龙江沐光行教育科技有限公司,国际行为副行为分析师BCaBABACB认证教学督导,"[""VBMAPP语言行为里程碑评估"", ""EFL基础学习技能评估"", ""ABLLSR基本语言和学习技能评估"", ""PEAK促进学习与知识的关系评估"", ""AFLS成人功能生活技能评估"", ""个性化教学计划""]",自闭症家园网,黑龙江哈尔滨市
expert_31,顾义和,机构督导,黑龙江沐光行教育科技有限公司,特殊教育领域的资深专家 | 人际关系发展干预RDI教学老师 | 社会性游戏教学督导 | 北京启元教育品牌创始人,"[""PCI游戏与文化介入"", ""RDI人际关系发展干预"", ""DIR发展个体差异关系模式"", ""PRT关键反应训练"", ""孤独症儿童"", ""社会交往"", ""情绪调控"", ""心智解读能力""]",自闭症家园网,黑龙江哈尔滨市
expert_32,黄思婷,机构特教,桂林市春山教育咨询有限公司,中国人民解放军联勤保障部队第923医院实习期间在医院的康复医学科神经内科骨科中医科轮转,"[""关节松动术"", ""Bobath技术"", ""语言发育迟缓训练""]",自闭症家园网,广西桂林市
expert_33,李文静,机构特教,桂林市春山教育咨询有限公司,春山教育教务主任 | 感统教学及认知教学专家,"[""因材施教"", ""个性化教学"", ""个性化学习计划"", ""学生个性发展"", ""教师专业成长""]",自闭症家园网,广西桂林市
expert_34,阳欣成,机构特教,桂林市春山教育咨询有限公司,集体课教师 | 感统康复师,"[""儿童孤独症"", ""肢体障碍康复治疗"", ""康复技术应用"", ""个性化康复方案设计"", ""感统康复训练"", ""感统评估与诊断"", ""专业康复服务""]",自闭症家园网,广西桂林市
expert_35,张春梅,机构特教,辽阳市白塔区启智学校,特殊教育教师 | 国家孤独症儿童康复师 | 辽宁省特殊教育核心教研团队骨干成员 | 辽宁省特殊教育培训专家库专家 | 辽宁省基础教育课题专家库专家,"[""感觉统合"", ""个别化教学"", ""结构化教学"", ""孤独症谱系障碍评估"", ""行为个案分析"", ""专业书籍研讨""]",自闭症家园网,白塔区
expert_36,李雪林,机构督导,佳音蔚来（北京）教育科技有限公司,特教老师 | ABA孤独症康复高级行为干预师 | 游戏治疗师 | VBMAPP评估师 | 市残联康复师,"[""社交游戏教学"", ""孤独症谱系障碍"", ""发育迟缓"", ""个别化教育计划IEP"", ""VBMAPP评估""]",自闭症家园网,北京昌平区
expert_37,马瑾,机构管理,西安市乐恩特需儿童发展中心,西安市乐恩特需儿童发展中心主任,"[""认知类"", ""注意力训练"", ""机构管理"", ""教育培训"", ""家长培训"", ""员工培训""]",自闭症家园网,陕西西安市
expert_38,耿慧,机构特教,大连市沙河口区小海豚自闭症康复中心,大连小海豚儿童康复中心教师 | 高级应用行为分析师 | 高级语言治疗师 | 初级小学教师资格,"[""个别化康复训练"", ""社交能力提升"", ""语言开发""]",自闭症家园网,沙河口区
expert_39,王金苓,机构特教,大连市沙河口区小海豚自闭症康复中心,大连小海豚儿童康复中心副主任 | 国家社会工作师 | 高级自闭症疗育师 | 三级心理咨询师,"[""个案评估与计划制定"", ""家长培训"", ""个别化康复训练"", ""PRT关键反应教学""]",自闭症家园网,沙河口区
expert_40,连世超,机构督导,大连市沙河口区小海豚自闭症康复中心,大连小海豚儿童康复中心主任 | 国家社会工作师 | 高级感觉统合治疗师 | 高级应用行为分析师,"[""感统评估"", ""计划制定"", ""家长培训"", ""教师督导"", ""心青年个案管理"", ""心智障碍者就业指导""]",自闭症家园网,沙河口区
expert_41,谢娜,机构管理,大连市沙河口区小海豚自闭症康复中心,大连小海豚儿童康复中心主任 | 高级自闭症疗育师 | 高级应用行为分析师 | 高级语言训练师,"[""个别化康复训练"", ""言语及语言开发"", ""社交游戏""]",自闭症家园网,沙河口区
expert_42,孙贺,机构督导,大连市沙河口区小海豚自闭症康复中心,大连小海豚儿童康复中心主任 | 国家社会工作师 | 知情解意疗育师 | 高级应用行为分析师,"[""个案管理"", ""教师督导"", ""心智发展评估"", ""社会功能开发""]",自闭症家园网,沙河口区
expert_43,崔丽,机构创始人 | 机构管理,大连市沙河口区小海豚自闭症康复中心,自闭症全生涯服务机构创办人理事长,"[""自闭症谱系障碍"", ""康复医学"", ""特殊教育"", ""儿童康复干预"", ""融合教育"", ""成年支持"", ""社会融合"", ""独立生活技能训练"", ""差异化支持""]",自闭症家园网,沙河口区
expert_44,邓健娴,机构创始人 | 机构管理,佛山市三水区心语特殊儿童教育培训中心,广东省佛山市三水区心语特殊儿童教育培训中心院长 | 广东省岗位学雷锋标兵 | 广东好人,"[""孤独症知识科普"", ""孤独症相关讲座"", ""孤独症孩子作品展""]",自闭症家园网,三水区
expert_45,崔雅莉,机构督导,深圳市思奇教育服务有限公司,康复治疗学本科 | 深圳市思奇特康门诊部言语组组长 | 督导师,"[""特殊教育口语开发"", ""喂食训练"", ""构音矫治"", ""OPT口肌治疗"", ""Beckman口肌治疗"", ""ABA认知语言训练"", ""脑瘫"", ""精神发育迟缓"", ""孤独症"", ""唐氏综合症""]",自闭症家园网,广东深圳市
expert_46,冯梅,机构特教,信阳市浉河区慈光儿童康复中心,个训课干预经验 | 擅长自闭症儿童认知逻辑教学 | 发育障碍儿童早期康复治疗,"[""积累的重要性"", ""量变到质变"", ""持续努力""]",自闭症家园网,浉河区
expert_47,李巧园,机构特教,信阳市浉河区慈光儿童康复中心,河南科技职业大学康复治疗专业,"[""静心教育"", ""花开终有时""]",自闭症家园网,浉河区
expert_48,陈蔚,机构特教,信阳市浉河区慈光儿童康复中心,毕业于河南中医药大学康复治疗技术专业拥有丰富的PT经验,"[""物理治疗"", ""职业治疗"", ""口肌训练"", ""言语课程"", ""认知康复训练""]",自闭症家园网,浉河区
expert_49,张晓蕊,机构特教,信阳市浉河区慈光儿童康复中心,硬笔书法从业资格证 | 自闭症康复师资格证,"[""传统文化"", ""文化艺术""]",自闭症家园网,浉河区
expert_50,张莹莹,机构特教,信阳市浉河区慈光儿童康复中心,孤独症康复教师证 国家心理咨询师 家庭教育指导师 家庭系统排列导师 小物件排列咨询师,["我的未来不是梦我的心跟着希望在动\n\n特殊教育"],自闭症家园网,浉河区
expert_51,袁芳,机构督导,信阳市浉河区慈光儿童康复中心,教学督导,"[""自我修养提升"", ""价值观培养""]",自闭症家园网,浉河区
expert_52,王思宇,机构特教,锦州市向日葵儿童康复训练中心,个训课教师 | 教师资格证书 | 语言训练证书 | 奥尔夫音乐治疗证书 | 感觉统合证书,"[""儿童言语开发"", ""语言发音矫正"", ""行为矫正"", ""儿童思维能力训练""]",自闭症家园网,辽宁锦州市
expert_53,高莹,机构特教,锦州市向日葵儿童康复训练中心,个训课教师 | 游戏治疗师 | 蒙特梭利 | ABA | PRT,"[""游戏化教学"", ""认知能力提升"", ""学习能力培养"", ""ABA应用行为分析"", ""兴趣导向教学"", ""生活化学习""]",自闭症家园网,辽宁锦州市
expert_54,刘佳琪,机构特教,锦州市向日葵儿童康复训练中心,宣传主管 | 新媒体运营,"[""中华人民共和国教师资格"", ""普通话水平测试"", ""按摩师资格"", ""蒙台梭利教育"", ""中国手语"", ""听力语言康复"", ""孤独症儿童康复教育"", ""儿童言语语言治疗""]",自闭症家园网,辽宁锦州市
expert_55,何宁,机构特教,锦州市向日葵儿童康复训练中心,感统主管 | 游戏治疗师,"[""感觉统合训练"", ""自闭症儿童干预"", ""语言发展训练"", ""行为矫正训练"", ""注意力训练"", ""呼吸训练""]",自闭症家园网,辽宁锦州市
expert_56,李云涛,机构特教,锦州市向日葵儿童康复训练中心,教学主管 | 个训课教师 | 教师资格证 | 普通话二级甲等证书 | 孤独症康复专业先修课考试证书,"[""言语康复治疗"", ""认知康复"", ""逻辑思维训练"", ""行为训练""]",自闭症家园网,辽宁锦州市
expert_57,曹明月,机构特教,锦州市向日葵儿童康复训练中心,锦州向日葵康复中心行政主管 | 个训课教师,"[""语言开发"", ""思维训练"", ""行为规范"", ""社会交往""]",自闭症家园网,辽宁锦州市
expert_58,朱倩楠,机构特教,锦州市向日葵儿童康复训练中心,教务主管 | 音乐治疗师 | 个训课教师,"[""认知理解"", ""音乐治疗"", ""社交技能训练"", ""个别化教育训练""]",自闭症家园网,辽宁锦州市
expert_59,张光亮,机构特教,潍坊高新区星语特教培训学校,感统老师 | 国际感觉统合训练师 | 高级中学教师 | 连锁机构特聘感统指导师 | 自闭症儿童康复训练师,"[""特殊教育"", ""特殊儿童训练机构"", ""特殊儿童融合教育""]",自闭症家园网,潍坊高新区
expert_60,张健圣,机构特教,潍坊高新区星语特教培训学校,感统教师 | 高级感觉统合训练师证 | 孤独症康复教育上岗证书 | VBMAPP评估师,"[""特殊教育"", ""感觉统合训练""]",自闭症家园网,潍坊高新区
expert_61,付连征,机构特教,潍坊高新区星语特教培训学校,高级感统训练师,"[""感统训练"", ""教育培训""]",自闭症家园网,潍坊高新区
expert_62,丰嘉琪,机构特教,潍坊高新区星语特教培训学校,言语老师 | 孤独症康复教育岗位证书 | 言语治疗和口肌训练培训 | VBMAPP评估师专业技能培训 | 卡罗莱纳特殊教育评估培训,"[""特殊教育语言能力培养"", ""口腔肌肉训练"", ""发音矫正"", ""语言理解训练"", ""语言表达训练""]",自闭症家园网,潍坊高新区
expert_63,于欣桐,机构特教,潍坊高新区星语特教培训学校,个训老师 | 高级应用行为分析师证 | 孤独症从业上岗证 | 小学教师资格证,"[""个性化教学"", ""集体课程"", ""逻辑思维能力培养"", ""语言表达训练""]",自闭症家园网,潍坊高新区
expert_64,王东宁,机构特教,潍坊高新区星语特教培训学校,个训老师 | 幼儿教师资格证 | 特殊教育教师资格证 | 儿童言语语言治疗师高级康复技术证书 | 蒙台梭利特殊需求与特殊教育资格证,"[""认知理解"", ""思维逻辑"", ""理解表达"", ""行为分析"", ""ABA应用行为分析"", ""DTT回合式教学""]",自闭症家园网,潍坊高新区
expert_65,王珺煜,机构特教,潍坊高新区星语特教培训学校,个训教师 | 孤独症上岗证 | VBMAPP评估师 | 协康会影子老师初级证书,"[""特殊教育"", ""个别化教学"", ""集体课程"", ""社交技能训练""]",自闭症家园网,潍坊高新区
expert_66,车荣霞,机构特教,潍坊高新区星语特教培训学校,请提供实际输入文本我将根据示例输出格式进行提取,"[""认知能力"", ""语言发展"", ""思维能力"", ""问题行为干预"", ""社交技能训练""]",自闭症家园网,潍坊高新区
expert_67,周重君,机构特教,星得一智康复服务（昆明）有限公司,职能治疗师,"[""特殊儿童教育"", ""个性与功能评估"", ""行为观察与分析"", ""科学性评估"", ""感觉统合训练""]",自闭症家园网,云南昆明市
expert_68,木杰,机构特教,星得一智康复服务（昆明）有限公司,特教老师,"[""康复治疗"", ""儿童康复""]",自闭症家园网,云南昆明市
expert_69,赵丽,机构特教,星得一智康复服务（昆明）有限公司,奥尔夫音乐老师 | 小学教师资格证 | 中学教师资格证,"[""个性化教育"", ""体验式教学"", ""音乐教育""]",自闭症家园网,云南昆明市
expert_70,钟姚,机构特教,星得一智康复服务（昆明）有限公司,DSC心智课程老师 | DSG狐独症康复证书,"[""自闭症儿童康复教育"", ""学习能力培养"", ""行为分解法"", ""正向强化"", ""特殊教育形辅助"", ""特殊教育方法"", ""及时强化"", ""特殊教育限拓展""]",自闭症家园网,云南昆明市
expert_71,汪月媛,机构特教,星得一智康复服务（昆明）有限公司,DSC心智课程组组长 | DSC狐独症康复证书 | 教师从业资格证 | 计算机一级证书 | 英语四级证书,"[""自闭症康复"", ""儿童心智发展"", ""家长心理健康指导"", ""特殊儿童教育方法""]",自闭症家园网,云南昆明市
expert_72,朱金莲,机构特教,星得一智康复服务（昆明）有限公司,DSC心智课程老师 | 中共党员 | DSC狐独症康复证书 | 国家JYPG认证记忆培训导师 | 普通话二级乙等证书,"[""因材施教"", ""启发式教学"", ""差异化教学策略""]",自闭症家园网,云南昆明市
expert_73,肖武均,机构特教,慧予（云南）康复服务有限公司,云南慧予儿童康复中心康复训练师 | 自闭症康复系统培训,"[""脑瘫"", ""自闭症"", ""生长发育迟缓"", ""智力障碍"", ""作业治疗"", ""感觉统合训练"", ""言语治疗""]",自闭症家园网,云南昆明市
expert_74,陈学涛,机构特教,慧予（云南）康复服务有限公司,云南慧予儿童康复中心康复训练师,"[""脑性瘫痪"", ""癫痫"", ""ASD"", ""ADHD"", ""生长发育迟滞"", ""智力低下"", ""性早熟"", ""基因突变"", ""抽动症"", ""评估及康复治疗""]",自闭症家园网,云南昆明市
expert_75,徐燕,机构特教,慧予（云南）康复服务有限公司,云南慧予儿童康复中心康复训练师,"[""小儿脑瘫"", ""偏瘫"", ""脊髓损伤"", ""发育障碍"", ""脑损伤"", ""孤独症谱系障碍"", ""唐氏综合征"", ""功能障碍评估"", ""康复治疗""]",自闭症家园网,云南昆明市
expert_76,韩丽莎,机构特教,慧予（云南）康复服务有限公司,云南慧予儿童康复中心康复训练师 | 中共党员,"[""儿童言语语言障碍评估"", ""儿童言语语言障碍治疗"", ""启智认知训练"", ""口肌训练"", ""言语开发"", ""构音训练"", ""感觉统合训练"", ""专注力训练""]",自闭症家园网,云南昆明市
expert_77,杨敏,机构特教,慧予（云南）康复服务有限公司,康复训练师 | 第三届感觉统合全球认证课程CLASI学员,"[""脑瘫"", ""儿童生长发育迟缓"", ""智力障碍"", ""作业治疗"", ""感觉统合治疗""]",自闭症家园网,云南昆明市
expert_78,谢双丽,机构特教,慧予（云南）康复服务有限公司,云南慧予儿童康复中心康复训练师,"[""各类儿童发育障碍的评估"", ""脑瘫"", ""智力低下"", ""发育迟缓"", ""唐氏综合症"", ""猫叫综合征"", ""肌营养不良症"", ""进行性肌萎缩"", ""功能障碍评估"", ""运动治疗""]",自闭症家园网,云南昆明市
expert_79,韦仕会,机构特教,慧予（云南）康复服务有限公司,云南慧予儿童康复中心康复训练师长,"[""应用行为分析ABA"", ""语言行为VB"", ""回合式教学DTT"", ""自闭症干预"", ""发育落后干预"", ""语言障碍治疗"", ""言语治疗"", ""构音障碍矫正"", ""儿童行为问题矫正""]",自闭症家园网,云南昆明市
expert_80,宋宏芳,机构特教 | 机构管理,锦州市向日葵儿童康复训练中心,办公室主任 | 个训课教师 | 小组课教师 | 幼儿教师资格证 | 二级甲等普通话证,"[""ABA应用行为分析"", ""特殊儿童教育"", ""语言训练"", ""沟通技巧训练"", ""教学形式多样化"", ""知识泛化""]",自闭症家园网,辽宁锦州市
expert_81,许加会,机构特教,锦州市向日葵儿童康复训练中心,校长助理顾问 | 向日葵儿童康复训练中心党支部书记,"[""特殊教育"", ""特教机构管理""]",自闭症家园网,辽宁锦州市
expert_82,李彤彤,机构特教,河南省郑州市管城回族区奇色花福利幼儿园,奇色花幼儿园小三班班主任,"[""特殊需要儿童教育"", ""特殊儿童融合教育""]",自闭症家园网,管城回族区
expert_83,徐静,机构特教,深圳市乐优康复服务有限公司,主管级4级 | 中国残疾人康复协会孤独症康复上岗证 | 香港协康会自闭症pep3评估证书 | SS语言发育迟缓检查法评估师证 | 儿童言语语言治疗师高级专业技能证书,"[""认知理解"", ""言语口肌"", ""小学教师资格证"", ""特殊教育教师资格证"", ""助理社会工作师""]",自闭症家园网,广东深圳市
expert_84,胡丽芳,机构特教,深圳市乐优康复服务有限公司,主管级4级 | 中国残疾人康复协会孤独症康复上岗证 | 香港协康会自闭症pep3 | 评估证书Mystar家庭评估师 | 读写障碍儿童干预策略实操训练证书,"[""社会工作"", ""认知行为干预"", ""社交能力培养"", ""言语治疗""]",自闭症家园网,广东深圳市
expert_85,黄巧珍,机构创始人 | 行为分析师,厦门星澍教育科技有限公司,BCaBA | 国际认证副应用行为分析师BCaBA执照 | 教学主管,"[""感觉统合训练"", ""个性化训练方案""]",自闭症家园网,福建厦门市
expert_86,何翠凤,机构创始人 | 机构督导,惠州市惠城区指南针融合康教中心,惠州市指南针融合康教中心创始人 | ALSOPA认证优秀影子老师 | 幼儿园园长资格证 | VBMAPPY初阶证 | ABA孤独症康复高级行为干预师证,"[""音乐多元化疗育"", ""社交游戏互动教学"", ""思维拓展教学"", ""融合教学指导""]",自闭症家园网,惠城区
expert_87,夏凯斯,机构创始人 | 机构督导,惠州市惠城区指南针融合康教中心,惠州市指南针融合康教中心创始人 | 中国应用行为分析师CNABA学员 | ALSOPA认证优秀影子老师,"[""VBMAPP语言行为评估"", ""社交游戏互动教学"", ""教师与家长培训指导"", ""融合教育""]",自闭症家园网,惠城区
expert_88,林伟芳,机构创始人 | 机构督导,惠州市惠城区指南针融合康教中心,惠州市指南针融合康教中心创始人 | 中国应用行为分析师CNABA学员 | 揭阳市揭东区蒲公英肯纳学园融合基地督导 | ALSOPA认证优秀影子老师,"[""VBMAPP语言行为评估"", ""语言行为教学实践"", ""社交游戏互动教学"", ""教师与家长培训指导"", ""融合教育指导""]",自闭症家园网,惠城区
