id,name,type,services,address,contact,source
center_11,葫芦岛连山坚果康复中心,民办康复机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练""]","{""street"": ""坚果儿童发展中心"", ""district"": ""连山区"", ""city"": ""葫芦岛市"", ""province"": ""辽宁省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_12,大连唐氏中易康中心,民办康复机构 | 残联定点机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""风光街2号1-2层"", ""district"": ""西岗区"", ""city"": ""大连市"", ""province"": ""辽宁省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_13,哈尔滨香坊众成儿童康复中心,民办康复机构 | 社会公益机构,"[""社交训练"", ""认知理解"", ""融合课程"", ""公益事业"", ""就业技能""]","{""street"": ""众成自闭症关爱帮扶中心"", ""district"": ""香坊区"", ""city"": ""哈尔滨市"", ""province"": ""黑龙江省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_14,永新星优康复中心,民办康复机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练""]","{""street"": ""才丰乡清塘村永新县养老服务中心才丰站院内"", ""district"": ""永新县"", ""city"": ""吉安市"", ""province"": ""江西省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_15,杭州树兰儿童行为发育诊治中心,公办康复机构 | 公办诊疗医院,"[""感觉统合"", ""言语训练"", ""公益事业"", ""职能治疗"", ""小组课""]","{""street"": ""东新路848号、836号(临)"", ""district"": ""下城区"", ""city"": ""杭州市"", ""province"": ""浙江省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_16,青岛优贝贝儿童康复中心,民办康复机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练""]","{""street"": ""东阁街道尚家上观新村一号楼三层"", ""district"": ""平度"", ""city"": ""青岛市"", ""province"": ""山东省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_17,上海歌特维儿童康复中心,民办康复机构,"[""社交训练"", ""沟通理解"", ""感觉统合"", ""言语训练"", ""辅助治疗""]","{""street"": ""中山南路1228号歌特维康门诊部3楼"", ""district"": ""黄浦区"", ""city"": ""上海市"", ""province"": ""上海市""}",{},自闭症家园网（https://www.asd-home.cn/）
center_18,阿叟阿巴ALSOLIFE总部,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""回龙观东大街296号二层203、205、208、210室"", ""district"": ""昌平区"", ""city"": ""北京市"", ""province"": ""北京市""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_19,阿叟阿巴ALSO·IN海口中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""海甸街道海甸三东路京海花园A座A312"", ""district"": ""美兰区"", ""city"": ""海口市"", ""province"": ""海南省""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_20,阿叟阿巴ALSO·IN太原中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""五龙口街万科紫院商铺万民药房3层"", ""district"": ""迎泽区"", ""city"": ""太原市"", ""province"": ""山西省""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_21,阿叟阿巴ALSO·IN济南中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""经十路24916号舜承大厦1-101"", ""district"": ""槐荫区"", ""city"": ""济南市"", ""province"": ""山东省""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_22,阿叟阿巴ALSO·IN合肥中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""海棠街道临泉路7366号华润橡树湾二期23栋2层"", ""district"": ""庐阳区"", ""city"": ""合肥市"", ""province"": ""安徽省""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_23,阿叟阿巴ALSO·IN成都中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""御风一路6号明信鹭湾3栋1单元3楼"", ""district"": ""成华区"", ""city"": ""成都市"", ""province"": ""四川省""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_24,阿叟阿巴ALSO·IN石家庄中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""体育南大街383-1号世纪佳泰大厦B座2楼"", ""district"": ""裕华区"", ""city"": ""石家庄市"", ""province"": ""河北省""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_25,阿叟阿巴ALSO·IN天津中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""西营门街津静路6号A2-3B18室"", ""district"": ""西青区"", ""city"": ""天津市"", ""province"": ""天津市""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_26,阿叟阿巴ALSO·IN郑州二七中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""航海路兴华南街交叉口西南角商铺3层"", ""district"": ""二七区"", ""city"": ""郑州市"", ""province"": ""河南省""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_27,宁乡顺济堂康复中心,民办康复机构 | 残联定点机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""玉潭街道人民南路9号人民路9号公寓B5栋三层307号"", ""district"": ""宁乡"", ""city"": ""长沙市"", ""province"": ""湖南省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_28,阿叟阿巴ALSO·IN西安高新中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""西安阿叟阿巴健康咨询有限公司雁塔区分公司"", ""district"": ""雁塔区"", ""city"": ""西安市"", ""province"": ""陕西省""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_29,阿叟阿巴ALSO·IN西安曲江中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""曲江新区芙蓉西路以东中海城7幢3单元30225室"", ""district"": ""雁塔区"", ""city"": ""西安市"", ""province"": ""陕西省""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_30,阿叟阿巴ALSO·IN郑州金水中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""农业路经三路兴业大厦A座4楼"", ""district"": ""金水区"", ""city"": ""郑州市"", ""province"": ""河南省""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_31,重庆蔚莱星康复中心,民办康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""ABA训练""]","{""street"": ""解放碑街道"", ""district"": ""渝中区"", ""city"": ""重庆市"", ""province"": ""重庆市""}",{},自闭症家园网（https://www.asd-home.cn/）
center_32,爱得法ALPHA北京金源中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""融合课程"", ""特殊教育""]","{""street"": ""远大路1号A段5层5031号"", ""district"": ""海淀区"", ""city"": ""北京市"", ""province"": ""北京市""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_33,爱得法ALPHA北京四惠中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""融合课程"", ""特殊教育""]","{""street"": ""通惠家园惠润园7、8号楼1层7-9号"", ""district"": ""朝阳区"", ""city"": ""北京市"", ""province"": ""北京市""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_34,爱得法ALPHA北京融创中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""融合课程"", ""特殊教育""]","{""street"": ""广顺北大街5号院内30号1层01"", ""district"": ""朝阳区"", ""city"": ""北京市"", ""province"": ""北京市""}",{"phone": "17080056737"},自闭症家园网（https://www.asd-home.cn/）
center_35,南昌童之梦儿童康复中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""兴国南路80号长堎聚源市场商铺B区二、三楼整层2011室"", ""district"": ""新建区"", ""city"": ""南昌市"", ""province"": ""江西省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_36,青岛新凡星儿童融合中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""富锦路与月龙峰路交叉口"", ""district"": ""李沧区"", ""city"": ""青岛市"", ""province"": ""山东省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_37,昆山文启之家康复中心,民办康复机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练""]","{""street"": ""震川中路426号、430号"", ""district"": ""昆山"", ""city"": ""苏州市"", ""province"": ""江苏省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_38,福州善悦馨儿童康复中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""融合课程"", ""幼小衔接""]","{""street"": ""善悦馨特殊教育培训中心"", ""district"": ""高新区"", ""city"": ""福州市"", ""province"": ""福建省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_39,常德棒棒星,民办康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程"", ""幼小衔接""]","{""street"": ""棒棒星儿童潜能开发中心"", ""district"": ""武陵区"", ""city"": ""常德市"", ""province"": ""湖南省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_40,厦门阳光启智康复中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""祥平街道"", ""district"": ""同安区"", ""city"": ""厦门市"", ""province"": ""福建省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_41,天津东方之星康复中心,民办康复机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练""]","{""street"": ""东方之星儿童康复中心"", ""district"": ""宝坻区"", ""city"": ""天津市"", ""province"": ""天津市""}",{},自闭症家园网（https://www.asd-home.cn/）
center_42,重庆树宝儿童康复中心,民办康复机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练""]","{""street"": ""高新区虎溪街道景阳路35号附54、55、56号"", ""district"": ""沙坪坝区"", ""city"": ""重庆市"", ""province"": ""重庆市""}",{},自闭症家园网（https://www.asd-home.cn/）
center_43,黑龙江沐光行康复中心,民办康复机构,"[""社交训练"", ""沟通理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""红旗大街997-9号、11号1栋1-3层5号"", ""district"": ""道外区"", ""city"": ""哈尔滨市"", ""province"": ""黑龙江省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_44,桂林春山少儿成长中心,民办康复机构 | 家长创办机构,"[""认知理解"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""幼小衔接"", ""影子老师""]","{""street"": ""中华路26号附属楼一层及二层"", ""district"": ""秀峰区"", ""city"": ""桂林市"", ""province"": ""广西壮族自治区""}",{},自闭症家园网（https://www.asd-home.cn/）
center_45,长沙经开医院儿童青少年语言行为干预科,民办康复机构 | 残联定点机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""长沙经开区区块黄兴大道南段52号"", ""district"": ""长沙县"", ""city"": ""长沙市"", ""province"": ""湖南省""}",{"phone": "16742735062"},自闭症家园网（https://www.asd-home.cn/）
center_46,玉泉中桥特殊教育儿童托管中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""融合课程"", ""小组课""]","{""street"": ""鄂尔多斯路街道兴隆小区11号"", ""district"": ""玉泉区"", ""city"": ""呼和浩特市"", ""province"": ""内蒙古自治区""}",{},自闭症家园网（https://www.asd-home.cn/）
center_47,定边乐天康复中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""长城南街101号"", ""district"": ""定边县"", ""city"": ""榆林市"", ""province"": ""陕西省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_48,银川蜗牛之梦康复中心,民办康复机构,"[""社交训练"", ""认知理解"", ""融合课程"", ""公益事业"", ""脑瘫智障"", ""就业技能""]","{""street"": ""凤凰北街崇安社区二楼201-202室"", ""district"": ""兴庆区"", ""city"": ""银川市"", ""province"": ""宁夏回族自治区""}",{},自闭症家园网（https://www.asd-home.cn/）
center_49,宜宾喜童健康成长中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""南岸广场西路2号酒都剧场1楼"", ""district"": ""叙州区"", ""city"": ""宜宾市"", ""province"": ""四川省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_50,黑龙江知予康复中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""新乡里街12号2层1号"", ""district"": ""香坊区"", ""city"": ""哈尔滨市"", ""province"": ""黑龙江省""}",{"phone": "17096320962"},自闭症家园网（https://www.asd-home.cn/）
center_51,南通家和儿童康复中心,民办康复机构 | 残联定点机构,"[""融合课程"", ""大龄托养"", ""辅助治疗"", ""影子老师""]","{""street"": ""幸福街道幸福大道188号2幢1层、2层"", ""district"": ""崇川区"", ""city"": ""南通市"", ""province"": ""江苏省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_52,银川哈贝星辰儿童能力发展中心,民办康复机构 | 残联定点机构,"[""社交训练"", ""沟通理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""哈贝星辰儿童康复训练中心"", ""district"": ""兴庆区"", ""city"": ""银川市"", ""province"": ""宁夏回族自治区""}",{},自闭症家园网（https://www.asd-home.cn/）
center_53,大连小海豚儿童康复中心,民办康复机构 | 残联定点机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""小海豚自闭症康复中心"", ""district"": ""沙河口区"", ""city"": ""大连市"", ""province"": ""辽宁省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_54,郑州木棉树儿童康复中心,民办康复机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练""]","{""street"": ""东风路街道"", ""district"": ""金水区"", ""city"": ""郑州市"", ""province"": ""河南省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_55,郑州睿梦康复中心,民办康复机构 | 残联定点机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程"", ""小组课""]","{""street"": ""文化路英才街6号郑州师范学院"", ""district"": ""惠济区"", ""city"": ""郑州市"", ""province"": ""河南省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_56,海南惠康儿童康复中心,民办康复机构 | 语言训练机构 | 残联定点机构,"[""社交训练"", ""沟通理解"", ""感觉统合"", ""言语训练"", ""融合课程"", ""小组课""]","{""street"": ""残疾人联合会康复大楼1-3层"", ""district"": ""定安县"", ""city"": ""海南省"", ""province"": ""海南省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_57,上海骊骁康复中心,民办康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""沪太路2388号201室A区0170室"", ""district"": ""宝山区"", ""city"": ""上海市"", ""province"": ""上海市""}",{},自闭症家园网（https://www.asd-home.cn/）
center_58,长垣康智星儿童发展中心,民办康复机构 | 残联定点机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程"", ""小组课""]","{""street"": ""蒲东兴隆国际中路34号商铺"", ""district"": ""长垣"", ""city"": ""新乡市"", ""province"": ""河南省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_59,厦门芭乐森林儿童成长中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程"", ""小组课""]","{""street"": ""禾祥西路425号301室"", ""district"": ""思明区"", ""city"": ""厦门市"", ""province"": ""福建省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_60,邯山小天使融合幼儿园,民办融合学校 | 民办康复学校,"[""社交训练"", ""认知理解"", ""言语训练"", ""融合课程"", ""特殊教育""]","{""street"": ""小天使第五幼儿园"", ""district"": ""邯山区"", ""city"": ""邯郸市"", ""province"": ""河北省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_61,厦门健庭儿童康复中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""兴隆路606-4号304室"", ""district"": ""湖里区"", ""city"": ""厦门市"", ""province"": ""福建省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_62,河南融玉康复中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""大学北路30号院中苑名都7号楼3层附14号"", ""district"": ""二七区"", ""city"": ""郑州市"", ""province"": ""河南省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_63,安图语言障碍康复中心,民办康复机构 | 语言训练机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练""]","{""street"": ""安图县残疾人联合会2楼"", ""district"": ""安图县"", ""city"": ""延边朝鲜族自治州"", ""province"": ""吉林省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_64,呼和浩特繁星听语康复中心,民办康复机构 | 语言训练机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练""]","{""street"": ""繁星听语儿童康复中心"", ""district"": ""赛罕区"", ""city"": ""呼和浩特市"", ""province"": ""内蒙古自治区""}",{},自闭症家园网（https://www.asd-home.cn/）
center_65,神木明声儿童康复中心,民办康复机构 | 语言训练机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""融合课程"", ""幼小衔接"", ""小组课""]","{""street"": ""西沟办事处吴家塔村"", ""district"": ""神木县"", ""city"": ""榆林市"", ""province"": ""陕西省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_66,葫芦岛蓝雅智障康复中心,民办康复机构 | 脑瘫智障机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""融合课程"", ""脑瘫智障""]","{""street"": ""蓝雅智障教育培训康复中心"", ""district"": ""连山区"", ""city"": ""葫芦岛市"", ""province"": ""辽宁省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_67,漳州德明择儿童发展中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""南昌中路86-5号"", ""district"": ""芗城区"", ""city"": ""漳州市"", ""province"": ""福建省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_68,安顺快言快语康复中心,民办康复机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练""]","{""street"": ""开发区西航街道西航街道160号"", ""district"": ""西秀区"", ""city"": ""安顺市"", ""province"": ""贵州省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_69,镇江快乐成长康复训练中心,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""快乐成长儿童康复中心"", ""district"": ""京口区"", ""city"": ""镇江市"", ""province"": ""江苏省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_70,珠海琪琪语言儿童康复中心,民办康复机构 | 语言训练机构 | 残联定点机构,"[""认知理解"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""琪琪聋儿听力语言康复中心"", ""district"": ""香洲区"", ""city"": ""珠海市"", ""province"": ""广东省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_71,邓州启智儿童康复中心,民办康复机构 | 语言训练机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""卫生南路81号"", ""district"": ""邓州"", ""city"": ""南阳市"", ""province"": ""河南省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_72,齐齐哈尔启航感统训练中心,民办康复机构,"[""社交训练"", ""认知理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""南山鑫苑73号楼00单元01层01号"", ""district"": ""铁锋区"", ""city"": ""齐齐哈尔市"", ""province"": ""黑龙江省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_73,聊城小凡星,民办康复机构 | 连锁康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程"", ""小组课""]","{""street"": ""行政服务大厅南100路西（赵邦子新村北邻）"", ""district"": ""茌平区"", ""city"": ""聊城市"", ""province"": ""山东省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_74,昆明慧予儿康星家人中心,民办康复机构 | 连锁康复机构 | 残联定点机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""ABA训练"", ""融合课程""]","{""street"": ""吴井街道办事处吴井路190号"", ""district"": ""官渡区"", ""city"": ""昆明市"", ""province"": ""云南省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_75,云南慧予儿童康复中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""ABA训练"", ""融合课程""]","{""street"": ""矣六街道办事处星都国际总部基地49栋3层及4层1号"", ""district"": ""官渡区"", ""city"": ""昆明市"", ""province"": ""云南省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_76,长沙星海航灯儿童支持,民办康复机构,"[""社交训练"", ""沟通理解"", ""ABA训练"", ""RDI干预""]","{""street"": ""侯家塘街道劳动西路128号中扬大厦1701"", ""district"": ""雨花区"", ""city"": ""长沙市"", ""province"": ""湖南省""}",{"phone": "15700775892"},自闭症家园网（https://www.asd-home.cn/）
center_77,潍坊高新星语特教学校,民办康复机构 | 残联定点机构 | 民办特殊学校,"[""社交训练"", ""感觉统合"", ""言语训练"", ""融合课程"", ""小组课""]","{""street"": ""星语特教培训学校"", ""district"": ""高新技术产业开发区"", ""city"": ""潍坊市"", ""province"": ""山东省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_78,马鞍山小凡星,民办康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程"", ""小组课""]","{""street"": ""桃源路街道"", ""district"": ""花山区"", ""city"": ""马鞍山市"", ""province"": ""安徽省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_79,河津爱星儿童发展中心,民办康复机构 | 残联定点机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练""]","{""street"": ""城区办高家湾村第七居民组727号"", ""district"": ""河津"", ""city"": ""运城市"", ""province"": ""山西省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_80,长治知星语能力训练中心,民办康复机构,"[""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程"", ""小组课""]","{""street"": ""丹朱镇神农路世纪园2-7商铺"", ""district"": ""长子县"", ""city"": ""长治市"", ""province"": ""山西省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_81,海南知星语大龄自闭症托养中心,民办康复机构 | 民办托养机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程"", ""大龄托养""]","{""street"": ""尖峰镇岭头村六队12号"", ""district"": ""乐东黎族自治县"", ""city"": ""海南省"", ""province"": ""海南省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_82,哈尔滨贤泽睿儿童康复中心,民办康复机构 | 残联定点机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程""]","{""street"": ""菜艺街53号"", ""district"": ""香坊区"", ""city"": ""哈尔滨市"", ""province"": ""黑龙江省""}",{},自闭症家园网（https://www.asd-home.cn/）
